date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:56	2719/2719	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Aug%202021%2009:18:11%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-shape.png	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-shape.png	(from http://www.dbpengineering.co.in/about-us.html)
17:08:18	769389/769389	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Aug%202021%2009:17:41%20GMT	http://www.dbpengineering.co.in/assets/images/get-quote-bg.jpg	F:/pd/www.dbpengineering.co.in/assets/images/get-quote-bg.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:08:31	260405/260405	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Aug%202021%2009:18:22%20GMT	http://www.dbpengineering.co.in/assets/images/team/team-1.jpg	F:/pd/www.dbpengineering.co.in/assets/images/team/team-1.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:08:45	84297/84297	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2009:35:17%20GMT	http://www.dbpengineering.co.in/assets/images/products/product1.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product1.jpg	(from http://www.dbpengineering.co.in/products.html)
17:08:49	359032/359032	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20May%202022%2012:12:55%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/about-us.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/about-us.jpg	(from http://www.dbpengineering.co.in/about-us.html)
17:08:58	78433/78433	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2009:48:35%20GMT	http://www.dbpengineering.co.in/assets/images/products/product4.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product4.jpg	(from http://www.dbpengineering.co.in/products.html)
17:08:59	387826/387826	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20May%202022%2004:36:28%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/projects.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/projects.jpg	(from http://www.dbpengineering.co.in/our-projects.html)
17:09:04	90687/90687	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2010:31:24%20GMT	http://www.dbpengineering.co.in/assets/images/products/product6.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product6.jpg	(from http://www.dbpengineering.co.in/products.html)
17:09:11	79829/79829	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2010:33:42%20GMT	http://www.dbpengineering.co.in/assets/images/products/product8.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product8.jpg	(from http://www.dbpengineering.co.in/products.html)
17:09:18	115195/115195	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20May%202022%2010:39:51%20GMT	http://www.dbpengineering.co.in/assets/images/products/product11.jpg	F:/pd/www.dbpengineering.co.in/assets/images/products/product11.jpg	(from http://www.dbpengineering.co.in/products.html)
